NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
TR,792,38029792,Turkey,38.5,29.5,38029,589837.3422,627574.8201,660863.6302,678769.1975,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38030792,Turkey,38.5,30.5,38030,482959.8179,512000.4116,537279.4153,549987.4498,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38031792,Turkey,38.5,31.5,38031,443838.237,485836.7783,526727.9209,557389.6881,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38032792,Turkey,38.5,32.5,38032,426768.8701,479745.8809,533738.0267,579153.5061,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38033792,Turkey,38.5,33.5,38033,399821.165,444547.2685,489227.8811,525165.3581,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38034792,Turkey,38.5,34.5,38034,492131.5224,524630.9147,553902.8383,570781.7426,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38035792,Turkey,38.5,35.5,38035,535651.284,571524.4167,603545.8531,621669.2293,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38036792,Turkey,38.5,36.5,38036,610539.2185,654278.6751,694144.6139,718494.3222,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38037792,Turkey,38.5,37.5,38037,520693.8426,561808.7096,600539.0444,626721.6213,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38038792,Turkey,38.5,38.5,38038,546774.2288,601121.9878,654306.5113,694850.5069,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38039792,Turkey,38.5,39.5,38039,537294.6129,584261.2299,630471.4482,665004.011,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38040792,Turkey,38.5,40.5,38040,563945.7778,619139.8281,673548.1685,715483.059,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38041792,Turkey,38.5,41.5,38041,591347.0356,660285.7764,730476.9744,789046.535,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38042792,Turkey,38.5,42.5,38042,347130.5636,378750.609,409280.0764,431674.3448,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38043792,Turkey,38.5,43.5,38043,282426.14,331910.5369,386156.5072,438300.8014,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,38044792,Turkey,38.5,44.5,38044,117202.6029,138048.2713,160918.759,182968.0453,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39026792,Turkey,39.5,26.5,39026,308989.7578,329792.199,348722.1765,360018.058,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39027792,Turkey,39.5,27.5,39027,923151.7969,1000723.8,1074750,1126950.224,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39028792,Turkey,39.5,28.5,39028,799949.1168,874779.8636,948693.1031,1005566.402,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39029792,Turkey,39.5,29.5,39029,615802.9966,682243.9764,749252.3714,803827.6255,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39030792,Turkey,39.5,30.5,39030,437042.1906,462542.3135,484502.3965,495003.2384,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39031792,Turkey,39.5,31.5,39031,508464.4895,543452.3471,575220.3174,594208.7054,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39032792,Turkey,39.5,32.5,39032,1143514.541,1279161.429,1416149.348,1529126.302,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39033792,Turkey,39.5,33.5,39033,853833.5229,930394.4913,1004766.34,1059725.138,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39034792,Turkey,39.5,34.5,39034,415425.3668,433122.4761,447649.9156,451989.1851,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
